time,coin,dir,px,sz,ntl,fee,closedPnl
19/07/2024 - 09:51:24,WLD,Open Short,2.6198,7322.5,19183.485500000003,0.959174,-0.959174
19/07/2024 - 09:51:24,WLD,Open Short,2.6198,2516.3,6592.202740000001,0.32961,-0.32961
19/07/2024 - 09:51:59,ETH,Close Long,3426.2,13.2372,45353.29463999999,13.605985,68.729399
19/07/2024 - 09:52:08,ETH,Close Long,3426.2,6.8146,23348.18252,1.167409,41.219403
19/07/2024 - 09:52:08,ETH,Close Long,3426.2,6.7566,23149.462919999998,1.157473,40.868579
19/07/2024 - 09:52:10,ETH,Close Long,3426.2,0.0349,119.57437999999999,0.005978,0.21109999999999998
19/07/2024 - 09:52:12,ETH,Close Long,3426.2,19.1036,65452.75432,3.272637,115.551755
19/07/2024 - 09:52:12,ETH,Close Long,3426.2,14.0522,48145.647639999996,2.407282,84.99740200000001
19/07/2024 - 09:52:24,ETH,Close Long,3426.3,0.0009,3.08367,0.000925,0.004763
19/07/2024 - 10:19:15,POPCAT,Open Long,0.77227417,12395,9572.33833715,2.871698,-2.871698
19/07/2024 - 10:23:18,WLD,Open Short,2.61711308,15841.7,41459.52027943601,12.437851,-12.437851
19/07/2024 - 11:46:24,WLD,Close Short,2.65785853,72454.1,192572.74771847302,57.77181,-2850.770899
19/07/2024 - 12:03:49,WLD,Open Short,2.60482895,75171.3,195808.378449135,58.742504,-58.742504
19/07/2024 - 12:41:05,POPCAT,Close Long,0.78389,159,124.63851,0.006231,1.8407129999999998
19/07/2024 - 12:41:13,POPCAT,Close Long,0.78389,2442,1914.25938,0.095712,28.27056
19/07/2024 - 12:41:28,WLD,Open Short,2.57625484,155559.4,400760.65715749597,120.228175,-120.228175
19/07/2024 - 12:41:29,POPCAT,Close Long,0.78389,318,249.27702,0.012463,3.681425
19/07/2024 - 12:41:30,POPCAT,Close Long,0.78389,399,312.77211,0.015638,4.619146
19/07/2024 - 12:41:53,POPCAT,Close Long,0.78304,9077,7107.654079999999,2.132296,95.590686
19/07/2024 - 13:24:16,WLD,Close Short,2.57393662,61643.1,158665.432460322,47.599614,802.666969
19/07/2024 - 13:24:16,WLD,Close Short,2.57811021,61643.1,158922.705486051,47.676806,545.3168069999999
19/07/2024 - 13:41:54,WLD,Close Short,2.56209142,6803.4,17430.932766828,5.229276,169.200246
19/07/2024 - 13:41:57,WLD,Close Short,2.5624,1763.1,4517.76744,0.225888,44.433435
19/07/2024 - 13:41:57,WLD,Close Short,2.5624,3326.2,8523.05488,0.426152,83.826494
19/07/2024 - 13:41:57,WLD,Close Short,2.5624,1505.1,3856.6682399999995,0.192833,37.93135
19/07/2024 - 13:41:58,WLD,Close Short,2.5624,2499.9,6405.743759999999,0.320287,63.00218
19/07/2024 - 13:41:58,WLD,Close Short,2.5624,80,204.992,0.010249,2.0161510000000002
19/07/2024 - 13:41:58,WLD,Close Short,2.5624,80,204.992,0.010249,2.0161510000000002
